"numCrashes","wind","precip","snow","propMentions","monthlyBus","monthlySubway","monthlyAAR","monthlyLIRR","monthlyMNR","label"
613,13.2,0,0,0.0050251256281407,"54820616","141227567","776147","6994737","6959429",599
599,9.17,0,0,0,"54820616","141227567","776147","6994737","6959429",605
605,9.62,0.03,0,0,"54820616","141227567","776147","6994737","6959429",791
791,13.42,4.01,0,0,"54820616","141227567","776147","6994737","6959429",571
571,11.18,0.38,0,0,"54820616","141227567","776147","6994737","6959429",533
533,7.16,0,0,0,"54820616","141227567","776147","6994737","6959429",624
624,10.29,1.38,0,0,"54820616","141227567","776147","6994737","6959429",635
635,16.78,0.02,0,0,"54820616","141227567","776147","6994737","6959429",615
615,15.21,0,0,0.00440528634361234,"54820616","141227567","776147","6994737","6959429",534
534,14.09,0.99,0,0.00467289719626168,"54820616","141227567","776147","6994737","6959429",693
693,13.2,0.15,0,0,"54820616","141227567","776147","6994737","6959429",596
596,8.95,0,0,0,"54820616","141227567","776147","6994737","6959429",477
477,10.51,0,0,0,"54820616","141227567","776147","6994737","6959429",614
614,9.4,0.13,0,0,"54820616","141227567","776147","6994737","6959429",613
613,6.49,0.2,0,0,"54820616","141227567","776147","6994737","6959429",622
622,10.29,0,0,0.00938967136150235,"54820616","141227567","776147","6994737","6959429",681
681,11.18,0,0,0.00483091787439614,"54820616","141227567","776147","6994737","6959429",690
690,10.96,0,0,0,"54820616","141227567","776147","6994737","6959429",599
599,9.84,0,0,0,"54820616","141227567","776147","6994737","6959429",505
505,10.74,0.03,0,0,"54820616","141227567","776147","6994737","6959429",680
680,10.74,0,0,0,"54820616","141227567","776147","6994737","6959429",648
648,11.18,0,0,0,"54820616","141227567","776147","6994737","6959429",621
621,10.96,0.1,0,0,"54820616","141227567","776147","6994737","6959429",598
598,8.95,0.13,0,0,"54820616","141227567","776147","6994737","6959429",608
608,12.97,0,0,0.00403225806451613,"54820616","141227567","776147","6994737","6959429",591
591,11.86,0,0,0,"54820616","141227567","776147","6994737","6959429",423
423,9.62,0.02,0,0,"54820616","141227567","776147","6994737","6959429",633
633,11.41,0.98,0,0.0100502512562814,"54697271","140822610","749610","7401120","7156528",601
601,12.08,0.25,0,0,"54697271","140822610","749610","7401120","7156528",635
635,9.62,0.09,0,0.00495049504950495,"54697271","140822610","749610","7401120","7156528",438
438,10.51,0,0,0,"54697271","140822610","749610","7401120","7156528",576
576,10.51,0,0,0,"54697271","140822610","749610","7401120","7156528",516
516,11.18,0,0,0,"54697271","140822610","749610","7401120","7156528",475
475,10.51,0,0,0,"54697271","140822610","749610","7401120","7156528",617
617,12.97,0,0,0.00581395348837209,"54697271","140822610","749610","7401120","7156528",583
583,10.07,0,0,0,"54697271","140822610","749610","7401120","7156528",614
614,8.95,0.06,0,0,"54697271","140822610","749610","7401120","7156528",550
550,6.93,0,0,0,"54697271","140822610","749610","7401120","7156528",599
599,12.3,0.27,0,0,"54697271","140822610","749610","7401120","7156528",575
575,7.61,0,0,0,"54697271","140822610","749610","7401120","7156528",471
471,11.18,0,0,0,"54697271","140822610","749610","7401120","7156528",581
581,6.71,0,0,0,"54697271","140822610","749610","7401120","7156528",582
582,10.51,0,0,0,"54697271","140822610","749610","7401120","7156528",609
609,7.16,0,0,0.00485436893203883,"54697271","140822610","749610","7401120","7156528",636
